Marker;MedianMs;MeanMs;LowerQuartileMs;UpperQuartileMs;MaxMs;Count;CountPerFrame;PresentFrames;SelectedFrames
"Game.Feature.Gameplay.Vfx.Authoring.dll!::<>c.<BuildRuntimeMap>b__2_0()";53.7386;53.7386;53.7386;53.7386;53.7386;68;4.25;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxBindingDefinitionAsset.BuildRuntimePolicy()";53.72;53.72;53.72;53.72;53.72;68;4.25;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxBindingDefinitionAsset.ValidateAuthoring()";53.6349;53.6349;53.6349;53.6349;53.6349;68;4.25;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxBindingDiagnostics.ValidateBinding()";53.6262;53.6262;53.6262;53.6262;53.6262;68;4.25;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::GameplayVfxBindingCompositionDiagnostics.Validate()";50.704201;50.704201;50.704201;50.704201;50.704201;2;0.125;1;16
"mscorlib.dll!System::Action`1.invoke_void_T()";49.7413;49.688647;48.4577;53.3908;59.5192;226;14.125;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldState.CreateSnapshotOwnedTileFeatureIdsByCell()";47.9828;46.694307;45.4024;49.9655;60.2859;906;56.625;15;16
"mscorlib.dll!System.Collections.Generic::Dictionary`2..ctor()";44.6816;44.740313;42.0493;46.2846;73.5093;94406;5900.375;15;16
"mscorlib.dll!System::Buffer.Memcpy()";44.478699;41.484061;43.978699;46.518899;53.869099;4523209;282700.5625;16;16
"System.dll!::Enumerator..ctor()";43.3663;42.39686;41.1382;45.3262;54.4885;97848;6115.5;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldState.CreateFromSnapshotFast()";42.513;43.416833;40.2462;44.1006;73.3646;341;21.3125;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayEntityPresentationApplier.Apply()";42.190799;41.086707;40.8657;42.877;50.2243;128;8;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldState.RestoreFromSnapshotFast()";40.6282;41.51532;38.5134;42.0166;70.8193;341;21.3125;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.EnumerateEntitiesOrdered()";40.1569;39.819613;38.6983;41.2213;62.6627;1356;84.75;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::SnapshotEntityLogicProvider.Build()";36.5839;36.205173;35.6999;37.6536;45.3429;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickResultBuilder.Build()";35.8171;36.24976;32.925501;37.350799;45.5558;113;7.0625;15;16
"EditorLoop";34.059499;42.126168;31.0885;37.642899;105.822492;62;3.875;16;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayCommittedFrameBuilder.StoreCommittedFrame()";30.805;29.025693;29.023;31.1948;34.716799;113;7.0625;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayCommittedFrameBuilder.StoreCommittedEntityTargets()";30.7958;29.015907;29.0146;31.1851;34.7053;113;7.0625;15;16
"mscorlib.dll!System::Array.Sort()";28.94;28.1704;28.0293;29.3106;33.5854;20261;1266.3125;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.BuildOrderedEntitiesCache()";28.62;27.563;27.6454;29.02;34.854;567;35.4375;15;16
